Timestamp,X,Y
2019.05.10.03.41.58.831,541,229
2019.05.10.03.41.58.852,505,199
2019.05.10.03.41.58.872,472,178
2019.05.10.03.41.58.891,444,158
2019.05.10.03.41.58.911,424,142
2019.05.10.03.41.58.931,410,127
2019.05.10.03.41.58.951,401,114
2019.05.10.03.41.58.971,397,102
2019.05.10.03.41.58.991,396,93
2019.05.10.03.41.59.011,398,84
2019.05.10.03.41.59.031,403,74
2019.05.10.03.41.59.051,406,69
2019.05.10.03.41.59.071,408,67
2019.05.10.03.41.59.090,409,64
2019.05.10.03.41.59.111,411,61
2019.05.10.03.41.59.130,411,59
2019.05.10.03.41.59.151,411,59
2019.05.10.03.41.59.170,411,59
2019.05.10.03.41.59.190,411,59
2019.05.10.03.41.59.211,411,59
2019.05.10.03.41.59.231,407,66
2019.05.10.03.41.59.250,403,73
2019.05.10.03.41.59.270,400,77
2019.05.10.03.41.59.290,399,79
2019.05.10.03.41.59.310,398,79
2019.05.10.03.41.59.330,398,79
2019.05.10.03.41.59.350,398,79
2019.05.10.03.41.59.370,398,79
2019.05.10.03.41.59.391,397,79
2019.05.10.03.41.59.412,397,79
2019.05.10.03.41.59.431,395,80
2019.05.10.03.41.59.451,394,81
2019.05.10.03.41.59.470,393,81
2019.05.10.03.41.59.492,391,82
2019.05.10.03.41.59.511,390,82
2019.05.10.03.41.59.532,388,83
2019.05.10.03.41.59.551,387,83
2019.05.10.03.41.59.571,387,83
