Timestamp,X,Y
2019.05.10.03.41.26.730,537,263
2019.05.10.03.41.26.750,537,263
2019.05.10.03.41.26.771,537,263
2019.05.10.03.41.26.790,537,263
2019.05.10.03.41.26.810,537,263
2019.05.10.03.41.26.830,537,263
2019.05.10.03.41.26.850,537,263
2019.05.10.03.41.26.870,537,263
2019.05.10.03.41.26.890,537,263
2019.05.10.03.41.26.910,537,263
2019.05.10.03.41.26.930,537,263
2019.05.10.03.41.26.950,537,263
2019.05.10.03.41.26.971,537,263
2019.05.10.03.41.26.992,537,263
2019.05.10.03.41.27.011,537,263
2019.05.10.03.41.27.032,537,263
2019.05.10.03.41.27.050,537,263
2019.05.10.03.41.27.071,537,263
2019.05.10.03.41.27.091,537,263
2019.05.10.03.41.27.111,537,263
2019.05.10.03.41.27.131,537,263
2019.05.10.03.41.27.151,537,263
2019.05.10.03.41.27.171,537,263
2019.05.10.03.41.27.192,537,263
2019.05.10.03.41.27.212,537,263
2019.05.10.03.41.27.231,537,263
2019.05.10.03.41.27.250,537,263
2019.05.10.03.41.27.271,537,263
2019.05.10.03.41.27.291,537,263
2019.05.10.03.41.27.311,537,263
2019.05.10.03.41.27.330,537,263
2019.05.10.03.41.27.350,537,263
2019.05.10.03.41.27.371,537,263
2019.05.10.03.41.27.392,537,263
2019.05.10.03.41.27.412,537,263
2019.05.10.03.41.27.430,537,263
2019.05.10.03.41.27.450,537,263
2019.05.10.03.41.27.471,537,263
2019.05.10.03.41.27.490,537,263
2019.05.10.03.41.27.511,537,263
2019.05.10.03.41.27.531,537,263
2019.05.10.03.41.27.551,537,263
2019.05.10.03.41.27.571,537,263
2019.05.10.03.41.27.591,537,263
2019.05.10.03.41.27.610,537,263
2019.05.10.03.41.27.631,537,263
2019.05.10.03.41.27.650,537,263
2019.05.10.03.41.27.671,537,263
2019.05.10.03.41.27.690,537,263
2019.05.10.03.41.27.712,537,263
2019.05.10.03.41.27.731,537,263
2019.05.10.03.41.27.750,537,263
2019.05.10.03.41.27.771,538,263
2019.05.10.03.41.27.791,538,263
2019.05.10.03.41.27.810,538,263
2019.05.10.03.41.27.830,538,263
2019.05.10.03.41.27.851,538,263
2019.05.10.03.41.27.870,538,263
2019.05.10.03.41.27.891,538,263
2019.05.10.03.41.27.910,538,263
2019.05.10.03.41.27.931,538,263
2019.05.10.03.41.27.951,538,263
2019.05.10.03.41.27.972,538,263
2019.05.10.03.41.27.990,538,263
2019.05.10.03.41.28.011,538,263
2019.05.10.03.41.28.031,538,263
2019.05.10.03.41.28.050,538,263
2019.05.10.03.41.28.070,538,263
2019.05.10.03.41.28.091,538,263
2019.05.10.03.41.28.111,538,263
2019.05.10.03.41.28.130,539,263
2019.05.10.03.41.28.150,554,268
2019.05.10.03.41.28.172,590,283
2019.05.10.03.41.28.192,623,302
2019.05.10.03.41.28.211,639,314
2019.05.10.03.41.28.232,643,318
2019.05.10.03.41.28.251,646,320
2019.05.10.03.41.28.272,653,323
2019.05.10.03.41.28.292,655,324
2019.05.10.03.41.28.312,655,324
2019.05.10.03.41.28.332,655,324
2019.05.10.03.41.28.351,655,324
2019.05.10.03.41.28.371,656,325
2019.05.10.03.41.28.390,658,329
2019.05.10.03.41.28.410,661,331
2019.05.10.03.41.28.430,661,331
2019.05.10.03.41.28.451,661,331
2019.05.10.03.41.28.471,662,331
2019.05.10.03.41.28.490,662,329
2019.05.10.03.41.28.511,663,328
2019.05.10.03.41.28.531,664,324
2019.05.10.03.41.28.551,665,323
2019.05.10.03.41.28.571,665,323
2019.05.10.03.41.28.591,665,323
2019.05.10.03.41.28.610,665,323
2019.05.10.03.41.28.631,665,323
2019.05.10.03.41.28.652,665,323
2019.05.10.03.41.28.672,665,323
2019.05.10.03.41.28.691,665,323
2019.05.10.03.41.28.710,665,323
2019.05.10.03.41.28.730,665,323
2019.05.10.03.41.28.750,665,323
2019.05.10.03.41.28.770,667,323
2019.05.10.03.41.28.790,672,329
2019.05.10.03.41.28.813,684,344
2019.05.10.03.41.28.832,694,359
2019.05.10.03.41.28.852,709,375
2019.05.10.03.41.28.871,725,390
2019.05.10.03.41.28.891,735,401
2019.05.10.03.41.28.912,744,411
2019.05.10.03.41.28.932,752,418
2019.05.10.03.41.28.950,758,423
2019.05.10.03.41.28.970,765,427
2019.05.10.03.41.28.991,770,429
2019.05.10.03.41.29.010,773,430
2019.05.10.03.41.29.030,774,431
2019.05.10.03.41.29.050,776,432
2019.05.10.03.41.29.070,778,433
2019.05.10.03.41.29.091,779,436
2019.05.10.03.41.29.110,783,440
2019.05.10.03.41.29.131,788,446
2019.05.10.03.41.29.150,793,450
2019.05.10.03.41.29.170,798,454
2019.05.10.03.41.29.192,804,460
2019.05.10.03.41.29.210,810,464
2019.05.10.03.41.29.230,814,466
2019.05.10.03.41.29.251,816,468
2019.05.10.03.41.29.270,816,468
2019.05.10.03.41.29.290,816,468
2019.05.10.03.41.29.312,817,468
2019.05.10.03.41.29.331,817,467
2019.05.10.03.41.29.351,819,465
2019.05.10.03.41.29.371,819,462
2019.05.10.03.41.29.391,819,458
2019.05.10.03.41.29.411,819,453
2019.05.10.03.41.29.431,819,447
2019.05.10.03.41.29.450,818,436
2019.05.10.03.41.29.472,816,417
2019.05.10.03.41.29.492,810,390
2019.05.10.03.41.29.511,802,361
2019.05.10.03.41.29.532,795,332
2019.05.10.03.41.29.551,790,306
2019.05.10.03.41.29.571,784,280
2019.05.10.03.41.29.592,780,266
2019.05.10.03.41.29.611,779,259
2019.05.10.03.41.29.632,782,250
2019.05.10.03.41.29.651,786,240
2019.05.10.03.41.29.671,787,234
2019.05.10.03.41.29.691,788,231
2019.05.10.03.41.29.712,791,225
2019.05.10.03.41.29.732,794,217
2019.05.10.03.41.29.752,796,209
2019.05.10.03.41.29.771,799,201
2019.05.10.03.41.29.790,801,196
2019.05.10.03.41.29.811,803,188
2019.05.10.03.41.29.832,803,182
2019.05.10.03.41.29.851,803,180
2019.05.10.03.41.29.870,804,178
2019.05.10.03.41.29.892,804,175
2019.05.10.03.41.29.911,804,173
2019.05.10.03.41.29.931,806,171
2019.05.10.03.41.29.951,806,170
2019.05.10.03.41.29.970,806,170
2019.05.10.03.41.29.990,806,170
2019.05.10.03.41.30.010,806,170
2019.05.10.03.41.30.030,806,170
2019.05.10.03.41.30.050,806,170
2019.05.10.03.41.30.071,806,170
2019.05.10.03.41.30.092,806,170
2019.05.10.03.41.30.111,807,169
2019.05.10.03.41.30.131,807,169
2019.05.10.03.41.30.150,807,169
2019.05.10.03.41.30.171,807,169
2019.05.10.03.41.30.191,807,169
2019.05.10.03.41.30.212,807,169
2019.05.10.03.41.30.230,807,169
2019.05.10.03.41.30.250,807,169
2019.05.10.03.41.30.271,807,169
2019.05.10.03.41.30.292,807,169
2019.05.10.03.41.30.310,807,169
2019.05.10.03.41.30.331,807,169
2019.05.10.03.41.30.351,807,169
2019.05.10.03.41.30.372,807,169
2019.05.10.03.41.30.391,807,169
2019.05.10.03.41.30.411,807,169
2019.05.10.03.41.30.432,807,169
2019.05.10.03.41.30.452,807,169
2019.05.10.03.41.30.472,807,169
2019.05.10.03.41.30.491,807,169
2019.05.10.03.41.30.510,807,169
2019.05.10.03.41.30.531,807,169
2019.05.10.03.41.30.551,807,169
2019.05.10.03.41.30.571,807,169
2019.05.10.03.41.30.591,807,169
2019.05.10.03.41.30.611,807,169
2019.05.10.03.41.30.631,807,169
2019.05.10.03.41.30.651,807,169
2019.05.10.03.41.30.670,807,169
2019.05.10.03.41.30.691,807,169
2019.05.10.03.41.30.710,807,169
2019.05.10.03.41.30.730,807,169
2019.05.10.03.41.30.751,807,169
2019.05.10.03.41.30.771,807,169
2019.05.10.03.41.30.792,807,169
2019.05.10.03.41.30.810,807,169
2019.05.10.03.41.30.830,807,169
2019.05.10.03.41.30.851,807,169
2019.05.10.03.41.30.871,807,169
2019.05.10.03.41.30.890,807,169
2019.05.10.03.41.30.911,807,169
2019.05.10.03.41.30.931,807,169
2019.05.10.03.41.30.950,807,169
2019.05.10.03.41.30.971,807,169
2019.05.10.03.41.30.991,807,169
2019.05.10.03.41.31.010,807,169
2019.05.10.03.41.31.030,807,169
2019.05.10.03.41.31.052,807,169
2019.05.10.03.41.31.070,807,169
2019.05.10.03.41.31.090,807,169
2019.05.10.03.41.31.111,807,169
2019.05.10.03.41.31.130,807,169
2019.05.10.03.41.31.152,807,169
2019.05.10.03.41.31.170,807,169
2019.05.10.03.41.31.191,807,169
2019.05.10.03.41.31.211,807,169
2019.05.10.03.41.31.232,807,169
2019.05.10.03.41.31.250,807,169
2019.05.10.03.41.31.271,807,169
2019.05.10.03.41.31.290,807,169
