Timestamp,X,Y
2019.05.10.03.43.50.567,740,321
2019.05.10.03.43.50.587,739,329
2019.05.10.03.43.50.607,739,335
2019.05.10.03.43.50.627,739,340
2019.05.10.03.43.50.648,739,343
2019.05.10.03.43.50.666,739,344
2019.05.10.03.43.50.687,739,344
2019.05.10.03.43.50.707,739,344
2019.05.10.03.43.50.729,739,344
2019.05.10.03.43.50.748,739,344
2019.05.10.03.43.50.767,739,344
2019.05.10.03.43.50.786,739,344
2019.05.10.03.43.50.806,739,344
2019.05.10.03.43.50.827,739,344
2019.05.10.03.43.50.846,739,344
2019.05.10.03.43.50.867,739,344
2019.05.10.03.43.50.886,739,344
2019.05.10.03.43.50.906,739,344
2019.05.10.03.43.50.927,739,344
2019.05.10.03.43.50.947,739,344
2019.05.10.03.43.50.967,739,344
2019.05.10.03.43.50.988,739,344
2019.05.10.03.43.51.007,739,344
2019.05.10.03.43.51.026,739,344
2019.05.10.03.43.51.048,739,344
2019.05.10.03.43.51.066,739,344
2019.05.10.03.43.51.087,739,344
2019.05.10.03.43.51.108,739,344
2019.05.10.03.43.51.128,739,344
2019.05.10.03.43.51.146,739,344
2019.05.10.03.43.51.167,739,344
2019.05.10.03.43.51.187,739,344
2019.05.10.03.43.51.207,739,344
2019.05.10.03.43.51.227,739,344
2019.05.10.03.43.51.247,739,344
2019.05.10.03.43.51.268,739,344
2019.05.10.03.43.51.287,739,344
2019.05.10.03.43.51.307,739,344
2019.05.10.03.43.51.327,739,344
2019.05.10.03.43.51.347,739,344
2019.05.10.03.43.51.367,737,340
2019.05.10.03.43.51.388,727,330
2019.05.10.03.43.51.408,719,321
2019.05.10.03.43.51.427,714,314
2019.05.10.03.43.51.447,709,307
2019.05.10.03.43.51.467,706,300
2019.05.10.03.43.51.488,699,290
2019.05.10.03.43.51.508,689,279
2019.05.10.03.43.51.528,681,271
2019.05.10.03.43.51.547,673,266
2019.05.10.03.43.51.567,663,261
2019.05.10.03.43.51.587,653,258
2019.05.10.03.43.51.606,641,255
2019.05.10.03.43.51.628,625,253
2019.05.10.03.43.51.648,602,251
2019.05.10.03.43.51.667,572,250
2019.05.10.03.43.51.688,523,248
2019.05.10.03.43.51.707,477,247
2019.05.10.03.43.51.727,422,245
2019.05.10.03.43.51.747,369,243
2019.05.10.03.43.51.767,314,238
2019.05.10.03.43.51.788,260,234
2019.05.10.03.43.51.807,212,231
2019.05.10.03.43.51.827,166,227
2019.05.10.03.43.51.847,123,220
2019.05.10.03.43.51.868,84,213
2019.05.10.03.43.51.887,59,206
2019.05.10.03.43.51.908,44,202
2019.05.10.03.43.51.927,38,198
2019.05.10.03.43.51.947,36,197
2019.05.10.03.43.51.966,36,197
2019.05.10.03.43.51.986,36,196
2019.05.10.03.43.52.008,36,196
2019.05.10.03.43.52.027,36,196
2019.05.10.03.43.52.046,37,194
2019.05.10.03.43.52.066,39,192
2019.05.10.03.43.52.087,41,187
2019.05.10.03.43.52.106,45,181
2019.05.10.03.43.52.126,49,174
2019.05.10.03.43.52.147,53,171
2019.05.10.03.43.52.167,54,170
2019.05.10.03.43.52.188,54,170
2019.05.10.03.43.52.207,54,170
2019.05.10.03.43.52.227,54,170
2019.05.10.03.43.52.246,54,169
2019.05.10.03.43.52.267,56,169
2019.05.10.03.43.52.287,59,170
2019.05.10.03.43.52.308,64,171
2019.05.10.03.43.52.327,66,172
2019.05.10.03.43.52.346,67,172
2019.05.10.03.43.52.367,67,172
2019.05.10.03.43.52.387,67,172
2019.05.10.03.43.52.407,67,172
2019.05.10.03.43.52.427,67,172
2019.05.10.03.43.52.447,67,172
2019.05.10.03.43.52.466,67,172
2019.05.10.03.43.52.487,68,172
2019.05.10.03.43.52.508,68,172
2019.05.10.03.43.52.526,68,172
2019.05.10.03.43.52.547,68,172
2019.05.10.03.43.52.567,68,172
2019.05.10.03.43.52.587,68,172
2019.05.10.03.43.52.607,68,172
2019.05.10.03.43.52.628,68,172
2019.05.10.03.43.52.646,68,172
2019.05.10.03.43.52.667,68,172
2019.05.10.03.43.52.687,68,172
2019.05.10.03.43.52.708,68,172
2019.05.10.03.43.52.727,68,172
2019.05.10.03.43.52.747,68,172
2019.05.10.03.43.52.767,68,172
2019.05.10.03.43.52.787,70,172
2019.05.10.03.43.52.806,81,173
2019.05.10.03.43.52.826,97,177
2019.05.10.03.43.52.846,118,182
2019.05.10.03.43.52.868,140,188
2019.05.10.03.43.52.888,166,195
2019.05.10.03.43.52.907,199,204
2019.05.10.03.43.52.927,241,218
2019.05.10.03.43.52.947,283,229
2019.05.10.03.43.52.967,323,240
2019.05.10.03.43.52.988,363,251
2019.05.10.03.43.53.007,397,260
2019.05.10.03.43.53.028,432,268
2019.05.10.03.43.53.047,460,275
2019.05.10.03.43.53.068,486,281
2019.05.10.03.43.53.087,509,285
2019.05.10.03.43.53.107,537,291
2019.05.10.03.43.53.127,567,299
2019.05.10.03.43.53.147,598,307
2019.05.10.03.43.53.167,630,314
2019.05.10.03.43.53.187,654,317
2019.05.10.03.43.53.207,669,318
2019.05.10.03.43.53.227,679,318
2019.05.10.03.43.53.246,683,317
2019.05.10.03.43.53.266,687,313
2019.05.10.03.43.53.286,691,307
2019.05.10.03.43.53.307,693,294
2019.05.10.03.43.53.328,688,272
2019.05.10.03.43.53.348,674,245
2019.05.10.03.43.53.367,656,217
2019.05.10.03.43.53.387,640,196
2019.05.10.03.43.53.408,632,185
2019.05.10.03.43.53.427,628,179
2019.05.10.03.43.53.447,621,170
2019.05.10.03.43.53.466,612,161
2019.05.10.03.43.53.488,598,153
2019.05.10.03.43.53.507,584,147
2019.05.10.03.43.53.527,570,142
2019.05.10.03.43.53.548,557,136
2019.05.10.03.43.53.567,547,130
2019.05.10.03.43.53.587,540,125
2019.05.10.03.43.53.607,536,121
2019.05.10.03.43.53.627,532,119
2019.05.10.03.43.53.647,528,114
2019.05.10.03.43.53.667,524,109
2019.05.10.03.43.53.687,519,106
2019.05.10.03.43.53.707,513,103
2019.05.10.03.43.53.726,502,100
2019.05.10.03.43.53.746,491,97
2019.05.10.03.43.53.766,480,95
2019.05.10.03.43.53.788,469,95
2019.05.10.03.43.53.807,461,94
2019.05.10.03.43.53.826,454,94
2019.05.10.03.43.53.846,448,93
2019.05.10.03.43.53.866,444,92
2019.05.10.03.43.53.886,439,90
2019.05.10.03.43.53.906,435,89
2019.05.10.03.43.53.928,431,89
2019.05.10.03.43.53.947,431,89
2019.05.10.03.43.53.967,431,89
2019.05.10.03.43.53.987,431,89
2019.05.10.03.43.54.008,431,89
2019.05.10.03.43.54.026,431,89
2019.05.10.03.43.54.047,431,89
2019.05.10.03.43.54.066,431,89
2019.05.10.03.43.54.088,431,89
2019.05.10.03.43.54.107,431,89
2019.05.10.03.43.54.127,431,89
2019.05.10.03.43.54.146,431,89
2019.05.10.03.43.56.371,395,79
2019.05.10.03.43.56.392,395,79
2019.05.10.03.43.56.413,395,79
2019.05.10.03.43.56.431,395,79
2019.05.10.03.43.56.452,395,79
2019.05.10.03.43.56.471,395,79
2019.05.10.03.43.56.493,395,79
2019.05.10.03.43.56.512,395,79
2019.05.10.03.43.56.532,395,79
2019.05.10.03.43.56.552,395,79
2019.05.10.03.43.56.573,395,79
2019.05.10.03.43.56.592,395,79
2019.05.10.03.43.56.612,395,79
2019.05.10.03.43.56.632,395,79
2019.05.10.03.43.56.652,395,79
2019.05.10.03.43.56.672,395,79
2019.05.10.03.43.56.692,395,79
2019.05.10.03.43.56.713,395,79
2019.05.10.03.43.56.732,395,79
2019.05.10.03.43.56.752,395,79
2019.05.10.03.43.56.772,395,79
2019.05.10.03.43.56.791,395,79
2019.05.10.03.43.56.813,395,81
2019.05.10.03.43.56.832,398,84
2019.05.10.03.43.56.852,402,89
2019.05.10.03.43.56.873,407,94
2019.05.10.03.43.56.892,413,100
2019.05.10.03.43.56.912,421,108
2019.05.10.03.43.56.932,430,118
2019.05.10.03.43.56.952,440,128
