Timestamp,X,Y
2019.05.10.03.43.30.555,416,79
2019.05.10.03.43.30.566,416,79
2019.05.10.03.43.30.586,416,79
2019.05.10.03.43.30.606,416,79
2019.05.10.03.43.30.628,416,79
2019.05.10.03.43.30.648,416,79
2019.05.10.03.43.30.667,416,79
2019.05.10.03.43.30.688,416,79
2019.05.10.03.43.30.707,416,79
2019.05.10.03.43.30.726,416,79
2019.05.10.03.43.30.747,416,79
2019.05.10.03.43.30.766,416,79
2019.05.10.03.43.30.787,416,79
2019.05.10.03.43.30.807,416,79
2019.05.10.03.43.30.827,416,79
2019.05.10.03.43.30.847,416,79
2019.05.10.03.43.30.866,416,79
2019.05.10.03.43.30.888,416,79
2019.05.10.03.43.30.907,416,79
2019.05.10.03.43.30.926,416,79
2019.05.10.03.43.30.946,416,79
2019.05.10.03.43.30.966,416,79
2019.05.10.03.43.30.987,416,79
2019.05.10.03.43.31.008,416,79
2019.05.10.03.43.31.027,416,79
2019.05.10.03.43.31.046,416,79
2019.05.10.03.43.31.067,416,79
2019.05.10.03.43.31.087,416,79
2019.05.10.03.43.31.106,416,79
2019.05.10.03.43.31.126,416,79
2019.05.10.03.43.31.147,416,79
2019.05.10.03.43.31.167,416,79
2019.05.10.03.43.31.187,416,79
2019.05.10.03.43.31.207,416,79
2019.05.10.03.43.31.227,420,86
2019.05.10.03.43.31.248,427,103
2019.05.10.03.43.31.267,437,125
2019.05.10.03.43.31.288,456,161
2019.05.10.03.43.31.308,474,194
2019.05.10.03.43.31.327,487,221
2019.05.10.03.43.31.348,499,240
2019.05.10.03.43.31.368,506,253
2019.05.10.03.43.31.387,511,259
2019.05.10.03.43.31.408,513,264
2019.05.10.03.43.31.428,516,267
2019.05.10.03.43.31.447,520,271
2019.05.10.03.43.31.467,524,274
2019.05.10.03.43.31.487,528,277
2019.05.10.03.43.31.507,534,279
2019.05.10.03.43.31.527,540,280
2019.05.10.03.43.31.547,545,280
2019.05.10.03.43.31.567,548,281
2019.05.10.03.43.31.588,550,281
2019.05.10.03.43.31.607,552,282
2019.05.10.03.43.31.627,555,284
2019.05.10.03.43.31.647,558,286
2019.05.10.03.43.31.668,561,286
2019.05.10.03.43.31.687,565,286
2019.05.10.03.43.31.708,567,285
2019.05.10.03.43.31.726,569,284
2019.05.10.03.43.31.748,572,281
2019.05.10.03.43.31.768,574,278
2019.05.10.03.43.31.787,576,274
2019.05.10.03.43.31.808,578,272
2019.05.10.03.43.31.828,578,271
2019.05.10.03.43.31.848,578,271
2019.05.10.03.43.31.867,578,270
2019.05.10.03.43.31.888,578,270
2019.05.10.03.43.31.906,578,270
2019.05.10.03.43.31.927,578,270
2019.05.10.03.43.31.947,578,270
2019.05.10.03.43.31.967,578,270
2019.05.10.03.43.31.986,578,270
2019.05.10.03.43.32.006,578,270
2019.05.10.03.43.32.027,578,270
2019.05.10.03.43.32.047,578,270
2019.05.10.03.43.32.068,578,270
2019.05.10.03.43.32.087,578,270
2019.05.10.03.43.32.108,578,270
2019.05.10.03.43.32.126,578,270
2019.05.10.03.43.32.146,578,270
2019.05.10.03.43.32.166,578,270
2019.05.10.03.43.32.187,578,270
2019.05.10.03.43.32.207,578,270
2019.05.10.03.43.32.227,578,270
2019.05.10.03.43.32.247,578,270
2019.05.10.03.43.32.266,578,270
2019.05.10.03.43.32.286,578,270
2019.05.10.03.43.32.307,578,270
2019.05.10.03.43.32.326,578,270
2019.05.10.03.43.32.347,578,270
2019.05.10.03.43.32.367,578,270
2019.05.10.03.43.32.387,578,270
2019.05.10.03.43.32.407,578,270
2019.05.10.03.43.32.426,578,270
2019.05.10.03.43.32.447,578,270
2019.05.10.03.43.32.466,578,270
2019.05.10.03.43.32.487,578,270
2019.05.10.03.43.32.506,578,270
2019.05.10.03.43.32.528,578,270
2019.05.10.03.43.32.547,578,270
2019.05.10.03.43.32.566,578,270
2019.05.10.03.43.32.587,578,270
2019.05.10.03.43.32.607,578,270
2019.05.10.03.43.32.627,578,270
2019.05.10.03.43.32.646,578,270
2019.05.10.03.43.32.667,578,270
2019.05.10.03.43.32.688,578,270
2019.05.10.03.43.32.708,578,270
2019.05.10.03.43.32.727,578,270
2019.05.10.03.43.32.748,578,270
2019.05.10.03.43.32.766,578,270
2019.05.10.03.43.32.788,578,270
2019.05.10.03.43.32.807,578,270
2019.05.10.03.43.32.826,578,270
2019.05.10.03.43.32.846,578,270
2019.05.10.03.43.32.867,578,270
2019.05.10.03.43.32.887,578,270
2019.05.10.03.43.32.906,578,270
2019.05.10.03.43.32.927,578,270
2019.05.10.03.43.32.948,578,270
2019.05.10.03.43.32.968,578,270
2019.05.10.03.43.32.986,578,270
2019.05.10.03.43.33.007,578,270
2019.05.10.03.43.33.028,578,270
2019.05.10.03.43.33.048,578,270
2019.05.10.03.43.33.068,578,270
2019.05.10.03.43.33.086,578,270
2019.05.10.03.43.33.106,578,270
2019.05.10.03.43.33.126,578,270
2019.05.10.03.43.33.147,578,270
2019.05.10.03.43.33.166,578,270
2019.05.10.03.43.33.187,578,270
2019.05.10.03.43.33.207,578,270
2019.05.10.03.43.33.226,578,270
2019.05.10.03.43.33.248,578,270
2019.05.10.03.43.33.268,578,270
2019.05.10.03.43.33.287,578,270
2019.05.10.03.43.33.306,578,270
2019.05.10.03.43.33.328,578,270
2019.05.10.03.43.33.347,578,270
2019.05.10.03.43.33.368,578,270
2019.05.10.03.43.33.387,578,270
2019.05.10.03.43.33.407,578,270
2019.05.10.03.43.33.427,578,270
2019.05.10.03.43.33.447,578,270
2019.05.10.03.43.33.467,578,270
2019.05.10.03.43.33.487,578,270
2019.05.10.03.43.33.506,578,270
2019.05.10.03.43.33.527,578,270
2019.05.10.03.43.33.547,578,270
2019.05.10.03.43.33.567,578,270
2019.05.10.03.43.33.587,578,270
2019.05.10.03.43.33.607,578,270
2019.05.10.03.43.33.627,578,270
2019.05.10.03.43.33.647,578,270
2019.05.10.03.43.33.668,578,270
2019.05.10.03.43.33.686,578,270
2019.05.10.03.43.33.706,578,270
2019.05.10.03.43.33.726,578,270
2019.05.10.03.43.33.747,578,270
2019.05.10.03.43.33.767,578,270
2019.05.10.03.43.33.786,578,270
2019.05.10.03.43.33.808,578,270
2019.05.10.03.43.33.827,578,269
2019.05.10.03.43.33.847,578,269
2019.05.10.03.43.33.866,578,269
2019.05.10.03.43.33.887,578,269
2019.05.10.03.43.33.907,578,269
2019.05.10.03.43.33.927,578,269
2019.05.10.03.43.33.947,578,269
2019.05.10.03.43.33.967,578,269
2019.05.10.03.43.33.987,578,269
2019.05.10.03.43.34.007,578,269
2019.05.10.03.43.34.027,578,269
2019.05.10.03.43.34.046,578,269
2019.05.10.03.43.34.067,578,269
2019.05.10.03.43.34.086,578,269
2019.05.10.03.43.34.107,578,269
2019.05.10.03.43.34.127,578,269
2019.05.10.03.43.34.147,578,269
2019.05.10.03.43.34.167,578,269
2019.05.10.03.43.34.187,578,269
2019.05.10.03.43.34.208,578,269
2019.05.10.03.43.34.226,578,269
2019.05.10.03.43.34.247,578,269
2019.05.10.03.43.34.268,578,269
2019.05.10.03.43.34.286,578,269
2019.05.10.03.43.34.307,578,269
2019.05.10.03.43.34.327,578,269
2019.05.10.03.43.34.348,578,269
2019.05.10.03.43.34.367,578,269
2019.05.10.03.43.34.387,578,269
2019.05.10.03.43.34.407,578,269
2019.05.10.03.43.34.427,578,269
2019.05.10.03.43.34.447,578,269
2019.05.10.03.43.34.467,578,269
2019.05.10.03.43.34.488,578,269
2019.05.10.03.43.34.508,578,269
2019.05.10.03.43.34.528,578,269
2019.05.10.03.43.34.547,578,269
2019.05.10.03.43.34.567,578,269
2019.05.10.03.43.34.586,578,269
2019.05.10.03.43.34.606,578,269
2019.05.10.03.43.34.627,578,269
2019.05.10.03.43.34.647,578,269
2019.05.10.03.43.34.666,578,269
2019.05.10.03.43.34.686,578,269
2019.05.10.03.43.34.706,578,269
2019.05.10.03.43.34.727,578,269
2019.05.10.03.43.34.747,578,269
2019.05.10.03.43.34.766,578,269
2019.05.10.03.43.34.787,578,269
2019.05.10.03.43.34.806,578,269
2019.05.10.03.43.34.828,578,269
2019.05.10.03.43.34.847,578,269
2019.05.10.03.43.34.866,578,269
2019.05.10.03.43.34.887,578,269
2019.05.10.03.43.34.906,578,269
2019.05.10.03.43.34.927,578,269
2019.05.10.03.43.34.948,578,269
2019.05.10.03.43.34.967,578,269
2019.05.10.03.43.34.986,578,269
2019.05.10.03.43.35.007,578,269
2019.05.10.03.43.35.027,578,269
2019.05.10.03.43.35.048,578,269
2019.05.10.03.43.35.066,578,269
2019.05.10.03.43.35.088,578,269
2019.05.10.03.43.35.107,578,269
2019.05.10.03.43.35.127,578,269
2019.05.10.03.43.35.147,578,269
2019.05.10.03.43.35.167,578,269
2019.05.10.03.43.35.186,578,269
2019.05.10.03.43.35.208,578,269
2019.05.10.03.43.35.227,578,269
2019.05.10.03.43.35.246,578,269
2019.05.10.03.43.35.267,578,269
2019.05.10.03.43.35.287,578,269
2019.05.10.03.43.35.307,578,269
2019.05.10.03.43.35.327,578,269
2019.05.10.03.43.35.346,578,269
2019.05.10.03.43.35.367,578,269
2019.05.10.03.43.35.388,578,269
2019.05.10.03.43.35.408,578,269
2019.05.10.03.43.35.427,578,269
2019.05.10.03.43.35.447,578,269
2019.05.10.03.43.35.467,578,269
2019.05.10.03.43.35.487,578,269
2019.05.10.03.43.35.507,578,269
2019.05.10.03.43.35.527,578,269
2019.05.10.03.43.35.546,578,269
2019.05.10.03.43.35.567,578,269
2019.05.10.03.43.35.588,578,269
2019.05.10.03.43.35.606,578,269
2019.05.10.03.43.35.628,578,269
2019.05.10.03.43.35.648,578,269
2019.05.10.03.43.35.667,578,269
2019.05.10.03.43.35.687,578,269
2019.05.10.03.43.35.707,578,269
2019.05.10.03.43.35.727,578,269
2019.05.10.03.43.35.747,578,269
2019.05.10.03.43.35.767,578,269
2019.05.10.03.43.35.786,578,269
2019.05.10.03.43.35.806,578,269
2019.05.10.03.43.35.828,578,269
2019.05.10.03.43.35.847,578,269
2019.05.10.03.43.35.866,578,269
2019.05.10.03.43.35.887,578,269
2019.05.10.03.43.35.907,581,269
2019.05.10.03.43.35.928,585,265
2019.05.10.03.43.35.947,594,262
2019.05.10.03.43.35.968,603,267
2019.05.10.03.43.35.988,605,271
2019.05.10.03.43.36.007,608,276
2019.05.10.03.43.36.027,611,287
2019.05.10.03.43.36.048,612,297
2019.05.10.03.43.36.067,614,303
2019.05.10.03.43.36.087,617,307
2019.05.10.03.43.36.107,620,311
2019.05.10.03.43.36.127,621,313
2019.05.10.03.43.36.148,621,313
2019.05.10.03.43.36.167,621,313
2019.05.10.03.43.36.186,621,313
2019.05.10.03.43.36.208,621,313
2019.05.10.03.43.36.226,621,313
2019.05.10.03.43.36.246,621,313
2019.05.10.03.43.36.267,621,313
2019.05.10.03.43.36.286,621,313
2019.05.10.03.43.36.307,623,313
2019.05.10.03.43.36.327,624,313
2019.05.10.03.43.36.347,626,314
2019.05.10.03.43.36.367,631,316
2019.05.10.03.43.36.387,637,318
2019.05.10.03.43.36.407,642,320
2019.05.10.03.43.36.428,643,320
2019.05.10.03.43.36.447,644,320
2019.05.10.03.43.36.466,644,320
2019.05.10.03.43.36.487,644,320
2019.05.10.03.43.36.507,644,320
2019.05.10.03.43.36.528,644,320
2019.05.10.03.43.36.546,644,320
2019.05.10.03.43.36.568,644,320
2019.05.10.03.43.36.586,644,320
2019.05.10.03.43.36.608,644,320
2019.05.10.03.43.36.627,644,320
2019.05.10.03.43.36.647,647,320
2019.05.10.03.43.36.667,650,319
2019.05.10.03.43.36.687,654,318
2019.05.10.03.43.36.708,660,318
2019.05.10.03.43.36.728,674,319
2019.05.10.03.43.36.748,694,332
2019.05.10.03.43.36.767,713,348
2019.05.10.03.43.36.786,729,367
2019.05.10.03.43.36.806,743,387
2019.05.10.03.43.36.826,757,403
2019.05.10.03.43.36.846,767,414
