Timstamp,X,Y
2019.05.07.04.58.19.820,245,101
2019.05.07.04.58.19.870,261,86
2019.05.07.04.58.19.920,267,83
2019.05.07.04.58.19.950,271,83
2019.05.07.04.58.23.130,285,92
2019.05.07.04.58.23.570,456,413
