Timestamp,Key
2019.05.10.03.41.19.311,1
2019.05.10.03.41.21.682,
2019.05.10.03.41.21.959,2
2019.05.10.03.41.26.539,1
2019.05.10.03.41.26.685,1
2019.05.10.03.41.26.834,8
2019.05.10.03.41.27.105,3
2019.05.10.03.41.30.926,s
2019.05.10.03.41.31.101,k
2019.05.10.03.41.31.247,y
2019.05.10.03.41.31.626,	
2019.05.10.03.41.32.007,s
2019.05.10.03.41.32.137,k
2019.05.10.03.41.32.352,y
2019.05.10.03.41.32.967,s
2019.05.10.03.41.33.268,
2019.05.10.03.41.33.648,p
2019.05.10.03.41.33.968,w
2019.05.10.03.41.34.207,d
2019.05.10.03.41.37.810,0
2019.05.10.03.41.37.974,0
2019.05.10.03.41.38.390,
2019.05.10.03.41.38.555,
2019.05.10.03.41.39.080,1
2019.05.10.03.41.39.230,1
2019.05.10.03.41.39.379,4
2019.05.10.03.41.39.585,0
2019.05.10.03.41.43.186,a
2019.05.10.03.41.43.291,d
2019.05.10.03.41.43.448,m
2019.05.10.03.41.43.576,i
2019.05.10.03.41.43.662,n
2019.05.10.03.41.43.827,	
2019.05.10.03.41.44.032,p
2019.05.10.03.41.44.216,a
2019.05.10.03.41.44.307,s
2019.05.10.03.41.44.472,s
2019.05.10.03.41.44.642,w
2019.05.10.03.41.44.748,o
2019.05.10.03.41.44.903,r
2019.05.10.03.41.45.162,d
2019.05.10.03.44.17.955,1
2019.05.10.03.44.18.085,3
2019.05.10.03.44.19.971,1
2019.05.10.03.44.20.066,2
2019.05.10.03.44.21.766,1
2019.05.10.03.44.21.907,1
2019.05.10.03.44.23.322,1
2019.05.10.03.44.26.599,2
